student_id,scenario
202559741,B
202560109,D
202559449,A
202585756,C
202557726,D
202557569,A
202586637,C
202589288,B
202552405,A
202591647,D
202584435,B
202588595,C
202567577,D
202562087,A
202562697,B
202589417,C
202581678,D
202570224,A
202566063,B
202561657,C
202586753,A
202575519,D
202556551,B
202592467,C
202584105,D
202573449,A
202555105,C
202554554,B
202580458,D
202582558,A
202560087,C
202593818,B
202589875,D
202576882,A
202563667,B
202564524,C
202584108,D
202578199,A
202570559,B
202577539,C
