id,headline,author,date,year,newspaper,newspaper_code,section,word_count,text
1,Home news Our beer's so strong it's binge drink cure,Jamie Beatson and Gordon Tait,2008-07-11,2008,The Sun,THESUN,,386,"Fury at brewer's bizarre claim

A BREWERY boss last night launched Britain's strongest beer - claiming it would CURE binge drinking.

James Watt, of Brewdog, said their Tokyo beer - at 12 per cent proof nearly as strong as wine - will curb boozing as people will drink less because it is so strong.

The brew from Fraserburgh, Aberdeenshire, will cost Pounds 4 a bottle. Managing director Mr Watt said it tasted better than other brands.

And he claimed that this would make people guzzle less of the brew.

Hardcore

Mr Watt, 25, said yesterday: ""We produce hardcore beer, which has a lot of flavour and bite, consequently people drink much less of it.

""They drink them to enjoy the spectrum of flavours, not to get drunk.

""Mass-produced beers taste so bland that people tend to drink a lot of them. We in fact are the cure - not the problem.""

His comments were slated by alcohol awareness groups and health campaigners who last night branded his marketing strategy ""irresponsible"".

Jack Law, of Alcohol Focus Scotland, said the strong brew would be especially tempting for teens and alcoholics.

He said: ""Alcohol should be marketed on taste and quality rather than strength.

""Why can't they use their technology and skills to produce a great-tasting low-alcohol beer instead?

""Super-strength drinks are often favoured by young people and problem drinkers. Is this really who the brewery wants to target?""

One 330ml bottle of Tokyo - made with jasmine and cranberries - will bring drinkers up to four units.

That is a man's daily recommended limit - and almost TWICE the maximum of what a woman should have.

But Mr Watt, left, insisted higher prices and more units per bottle will prevent people from bingeing.

A spokeswoman for BMA Scotland said: ""Many people don't realise how many units of alcohol they drink and it's unlikely this beer will help.""

Brewdog - launched last year by ex-law student Mr Watt and brewing graduate Martin Dickie, also 25 - has previously clashed with the industry watchdog over ads.

Its ""beer for punks"" and Rip Tide campaigns were said to glorify anti-social behaviour.

gordontait@the-sun.co.uk

(C) The Sun, 2008"
2,Trawl you need after a hard day making millions; BEER TYCOON CHILLS OUT... ON FISHING BOAT,MATT BENDORIS,2009-01-03,2009,The Sun,THESUN,News,768,"YOUNG millionaire and TV star James Watt will put his life on the line when he swaps his pampered lifestyle —o work on a fishing boat.

The 26-year-old entrepreneur is co-owner of trendy beer label BrewDog.

He starred in the BBC show Last Millionaire and this month will also feature on BBC 2's Oz And James Drink To Britain.

But last night, James set sail on the 200ft, 1,000-ton fishing vessel Ocean Quest.

Lure

He will spend the next six weeks hauling nets in the storm-lashed North Atlantic.

James faces being battered by 80ft waves, while pods of killer whales are never far behind the boat.

He said: ""People have said I'm crazy and ask why I do it. But it's my father Jim's boat. I come from a family of fisherman and there is something about the lure of the ocean.

""When I've been away from it for a long time, I just have to get back to the sea."" Watt's two worlds couldn't be further apart. When he's not at sea, he flies to trade shows in America and the Far East to thrash out megabucks deals.

But instead of first-class travel and five-star hotels, Watt will be crammed into a bunk bed living alongside 10 other crew members.

Not that he'll get much time to sleep.

He explained: ""Like the rest of the crew I'm normally on deck for around 20 hours a day —sually in the middle of a storm.

""Actually at this time of year a force eight or nine gale is nothing really. It gets much worse.

""We regularly see waves in excess of 65ft.

""The biggest I have seen was maybe 82ft. It can get pretty scary out there. But the worst was last January.

""We were sailing out from the north of Scotland on quite a poor night when got hit by a rogue wave.

""We have inch-thick steel on the side of the boat, and it managed to smash that it in.

Capsized

""The lights from the top of the mast were washed away.

It was as if we'd hit a brick wall. I thought we'd capsized.

""My dad has been at sea for 45 years and said that was the worst.

""It can be terrifying. But you know and accept the risks. It just come with the job."" He added: ""We also get lots of killer whales popping up alongside the boat. They keep you on your toes.

""And a couple of years back I nearly came a cropper when a line snapped.

""We were hauling 400 tons of mackerel when the boat took a heave.

""A 14in-thick nylon rope snapped a foot away from my head. If it had hit me I wouldn't be here today."" BrewDog was formed in Fraserburgh three years ago by James and his pal Martin Dickie, 26.

It now produces 200,000 bottles a month and sells to 11 countries. They are also on the shelves at Tescos.

They became a big hit thanks to their 'edgy' beer names like Speedball, Tokyo, Paradox, Rip Tide, Trashy Blonde and Punk IPA.

Last year they won an eight-month court battle with the drinks forum The Portman Group after they complained BrewDog's flagship product Punk IPA was described on the label as an ""aggressive beer"" —inking it with anti-social behaviour.

But an appeal agreed with the microbrewery that the phrase actually described the beer's flavour.

On January 20, Watt and Martin will appear on Oz And James Drink To Britain, featuring wine expert Oz Clarke and former Top Gear presenter James May.

Tramps

Watt said: ""The guys travel around in an old caravan meeting drinks producers.

We met them in Princess Street and end up sharing our beers with them on a park bench like tramps.

""It was good fun and the guys are really funny."" When Watt returns from his fishing trip mid-February, he will immediately jet off across the world promoting the BrewDog brand.

But single James said: ""I still call myself a fisherman first and foremost.

""No matter how well Brew- Dog is doing, I'll always go back to sea.""

{I'm normally on deck for around 20 hours a day —sually in a storm|

HARD CASE ... James is packed for the Ocean Quest, top, and with May and Oz on new show"
3,BEER BANNED,,2009-01-21,2009,The Sun,THESUN,News,73,"A BEER called Speedball is being pulled from shelves after a watchdog ruled it promotes the drug mix that killed film stars John Belushi and River Phoenix.

Speedballing is a term for combining heroin and cocaine. Brewdog, of Fraserbugh, Scotland, calls its drink a ""Class A Ale"" containing ""a vicious cocktail of active ingredients"" which creates a ""happy-sad"" effect. Watchdog The Portman Group said the marketing was ""grossly irresponsible""."
4,Speedball beer 'jibe',,2009-01-23,2009,The Sun,THESUN,News,65,"A BREWERY said yesterday it named a beer after a lethal drugs cocktail to ""wind up"" watchdogs.

Brewdog was forced to remove any of its 1,184 bottles of Speedball —amed after a cocaine-heroin mix —eft on shelves after a Portman Group probe.

Martin Dickie, boss of the Fraserburgh, Aberdeenshire, brewery, said: ""They should be focusing on more important things."""
5,The only deckhand who had a teddy bear; SAYS JAMES WATT,,2009-01-29,2009,The Sun,THESUN,News,393,"AT just 26, James Watt is managing director of his own award-winning Scottish brewery, BrewDog. He also shone on the BBC3 show The Last Millionaire.

He's never been afraid of hard work though, starting his North Atlantic fishing career at just seven years old.

He reveals to LINDSEY JOHNSTONE that he was well-paid for his efforts . .

What was your first job? I used to spend all my summer holidays working on my dad's North Atlantic trawler.

Where was it and how old were you? I spent my first summer at sea aged only seven. I think I must have been the only fisherman in the fleet who still slept with a teddy.

Job description? Makeshift ship's cat/tea-maker/fish counter.

First pay packet? Skeletor model, from He-man And The Masters Of The Universe.

I spent a week on my dad's fishing boat when I was seven for this most extravagant of remunerations. I could have happily retired that very day.

What was your greatest achievement in the job? I became a fully-qualified captain aged 23. The teddy now stays on dry land though. When I am not running BrewDog I relax by spending January on the North Atlantic.

Biggest mistake? Taking the aforementioned teddy to work — source of great amusement for some and massive embarrassment for others.

Was there someone who played an important role, good or bad, in your job? The whole experience of spending time on a North Atlantic trawler instils a strong work ethic and team mentality.

Compared to 24 hours on deck in a January storm, sitting at a desk all day making calls is easy.

When and why did you leave? I didn't — still spend two months a year at sea.

Apparently running Scotland's largest independent brewery is not quite stressful enough for me.

Best bit of advice given to you? Always believe 100 per cent in yourself and your ideas —f you don't, no one else will.

You need a level of almost unrealistic confidence in yourself and your own ability.

Top tip for getting a job? Find something you are passionate, something you are excited about.

Employers are looking for passion and commitment far more than qualifications.

SAYS JAMES WATT"
6,Fishing tycoon's ex to get £million,DAVE FINLAY,2009-04-30,2009,The Sun,THESUN,Features,272,"A WEALTHY fisherman was yesterday ordered to pay his ex-wife nearly £.4MILLION in a divorce settlement —ver double what he first offered her.

James Watt, 53, must give wife of 25 years Ann £million immediately —nd has six months to rustle up the remainder.

The payout comes after she told a divorce hearing that at the time they split in 2002 he tried to force her to accept just £.5million, despite saying he was worth £0 to £2million.

And she said he'd also told her he'd signed a ""document"" that meant she would get NOTHING.

Entitled

But judge Lady Smith yesterday said Mrs Watt was entitled to £.238million under a 48/52 per cent split in favour of Mr Watt. She said as Mrs Watt already has some of Mr Watt's property, he must pay £.369million.

Mr Watt, of Rosehearty, Aberdeenshire, made his millions fishing and as a businessman. Mrs Watt, of Peterhead, is a teacher.

They married in 1977, and have a son, James, a co-founder of Fraserburghbased brewery Brewdog.

Mrs Watt had sought half the couple's wealth.

Granting a divorce, Lady Smith told the Court of Session in Edinburgh the main issue in debate had been the value of Mr Watt's ""business interests.""

She ordered the payout after telling how Mr Watt saw ""impressive"" profits with a firm, Mewstead, which built and ran two ""super trawlers"", Ocean Quest and Ocean Venture.

She said he signed the 2002 ""document"" with partners, thinking it would help resist a divorce claim."
7,Cheers to eco beer,,2009-05-13,2009,The Sun,THESUN,News,96,"BEER bosses last night revealed ambitious plans to build the world's first carbon neutral brewery —n Scotland.

BrewDog, which saw profits rocket 450 per cent last year, claims its new ""self-sufficient"" base will churn out ZERO waste.

And its workforce will almost double, with 15 extra workers hired to man the site at Potterton, near Aberdeen.

Head brewer Martin Dickie, 26, said: ""It will make about eight brews a day —hat's ten times more beer than we're producing at the moment.

We're struggling to produce enough."""
8,Blast for 18% ale,,2009-07-28,2009,The Sun,THESUN,News,94,"A BREWERY was slammed last night for producing Britain's strongest beer —ith 18.2 per cent alcohol content.

A 330ml bottle of Tokyo* contains six units of alcohol, twice the recommended daily dose.

A British Liver Trust spokeswoman said: ""Glamorising the strength of beer, or any alcoholic drink, will not alleviate irresponsible binge-drinking culture.""

James Watt, whose BrewDog firm make Tokyo* in Fraserburgh, Aberdeenshire, actually claims it could cut bingeing.

He said: ""Mass market lagers are so bland you are seduced into drinking a lot of them."""
9,STORM BREWS OVER 18% BEER; Alarm at ale that's '3 pints in a bottle',LUCINDA CAMERON,2009-07-28,2009,The Sun,THESUN,News,423,"BREWERY chiefs were branded ""irresponsible"" last night for launching an 18.2 PER CENT beer which they claim is Britain's strongest.

Just one bottle of powerful Tokyo* contains six units of alcohol —he same as THREE PINTS of normal-strength lager.

Its Scots creators BrewDog insist the ale will actually CURE binge-drinking —ecause it's so potent, punters will down less of it.

But dismayed health experts rubbished those claims last night.

Jack Law, chief exec of Alcohol Focus Scotland, said: ""They're completely deluded if they think an 18.2 per cent beer will solve Scotland's alcohol problems.

""It's utterly irresponsible to bring out a beer that is so strong when Scotland is facing unprecedented levels of alcohol-related harm.""

BrewDog, based in Fraserburgh, Aberdeenshire, sparked controversy when it launched its original 12 per cent Tokyo beer last year.

But now, it's brewed an even stronger Tokyo*, using jasmine, cranberries, malt and hops fermented with a champagne yeast.

Boss James Watt —ho tuns the operation with Martin Dickie —aid his firm was helping to promote responsible drinking by educating people about booze.

He said: ""Our hardcore beers are loaded with flavour, bite and body, so you drink less of them.

""Industrially-brewed lagers are so bland and tasteless that you're seduced into drinking a lot of them. The beers we make at BrewDog, including Tokyo*, provide a cure to binge beer-drinking.""

But health campaigners insist quaffing such a strong brew could trigger problems.

Damaging Mr Law added: ""Just one bottle of beer contains six units of alcohol —wice the recommended daily limit.""

The British Liver Trust pointed out a pint would contain 12 units —he equivalent of a bottle of wine.

A spokeswoman said: ""Glamorising the strength of beer won't deter people from drinking heavily. On the contrary, the notion of binge-drinking is to get drunk quick, so surely this beer will help people on their way.""

A BMA Scotland spokeswoman said: ""A high-alcohol content is equally damaging as drinking vast quantities.""

BrewDog has produced 3,000 limited edition bottles, which will only be available through its website or specialist retailers.

Earlier this year, watchdog the Portman Group wanted the firm's Speedball drink withdrawn because it shared a name with an infamous drugs cocktail.

scottish-sun@the-sun.co.uk

Potent ... Scots ale Tokyo* Brew two ... beer creators Dickie and Watt"
10,BEER NUTS,BRIAN LEWIS,2009-07-29,2009,The Sun,THESUN,News,304,"Sun man takes 18% lager challenge and can't finish 3rd bottle

AS PUNTERS supped their normal lagers, spirits and wines, I sat there staring down the barrel of an 18.2 per cent proof bottle of Tokyo* beer.

My drinking buddie Darren Love ordered up a pint of Tennent's at Oscars Bar & Grill in Edinburgh.

While I had the latest Brewdog creation that they claim is the strongest ale in the country.

Burn The first sip gave no indication of the strength, just that it was not your normal tipple.

It has a slight burn as it goes down —imilar to a spirit —nd I could feel it affecting me after just half a bottle.

I wouldn't say I was drunk after finishing the equivalent of three pints of normal lager, but I certainly wouldn't drive.

I then tried to neck my second bottle of the sickly-sweet rocket fuel and it was definitely not pretty.

I struggled to get it down and by the end I was definitely tipsy, if not worse.

I tried to go for a third ... but couldn't face the whole thing.

Brewdog claim it will stop people drinking too much and curb binge boozing as they will sup slower. Well, that is true.

I certainly drank a lot slower and Darren, 37, easily necked a couple of pints before I had finished my first.

Its sweet stout flavour might not be to everyone's taste but it certainly has a kick.

Though why anyone would pay a tenner for the experience is totally beyond me.

Darren left happy. I ordered a pint of cooking lager to take away the taste then rushed home to brush my teeth.

And I may be late into the office this afternoon."
