window_index,window_start_seconds,window_end_seconds,mean_pitch,mean_intensity,number_of_periods,fraction_of_unvoiced,number_of_voice_breaks,jitter_local,shimmer_local,mean_autocorrelation,mean_nhr,musk_dominant
0,0,300,163.3211,70.9188,16306,0.6334,1040,0.035804,0.194174,0.870624,0.148602,True
1,300,600,148.5339,71.57,16854,0.5909,1067,0.031108,0.176944,0.892644,0.120268,True
2,600,900,153.4518,71.0331,18234,0.5707,1112,0.032462,0.193129,0.853251,0.171988,True
3,900,1200,183.4176,70.3635,19854,0.598,1195,0.039852,0.210138,0.849315,0.17742,True
4,1200,1500,170.8315,70.1913,19055,0.5932,1183,0.037648,0.195892,0.8553,0.16918,True
5,1500,1800,148.6223,69.7123,16478,0.6047,1022,0.031942,0.174099,0.888134,0.125957,True
6,1800,2100,168.9338,69.6435,17901,0.6135,1127,0.037244,0.198697,0.854235,0.170638,True
7,2100,2400,168.687,70.5105,20091,0.5749,1056,0.033801,0.181696,0.87708,0.140147,True
8,2400,2700,151.8265,69.8505,17689,0.5857,1027,0.029887,0.178321,0.846188,0.18177,True
9,2700,3000,138.6155,70.0507,18830,0.5162,1048,0.028067,0.17489,0.870969,0.148147,True
