window_index,window_start_seconds,window_end_seconds,mean_pitch,mean_intensity,number_of_periods,fraction_of_unvoiced,number_of_voice_breaks,jitter_local,shimmer_local,mean_autocorrelation,mean_nhr,musk_dominant,imputed
0,0,300,124.792,69.5874,15936,0.5568,1002,0.027761,0.142379,0.9187,0.088494,True,False
1,300,600,127.2686,69.7554,16217,0.5543,970,0.03061,0.148328,0.913164,0.095094,True,False
2,600,900,133.9259,68.6853,16574,0.5677,906,0.026044,0.145791,0.901394,0.109392,True,False
3,900,1200,146.7692,69.3084,17918,0.5675,991,0.02832,0.15945,0.882028,0.133751,True,False
4,1200,1500,133.5446,70.5207,16893,0.5577,975,0.02858,0.139918,0.916104,0.091579,True,False
5,1500,1800,154.8179,68.9025,17614,0.59,1044,0.035166,0.160323,0.874868,0.143029,True,False
6,1800,2100,140.3837,69.0098,17846,0.5548,1063,0.026602,0.152167,0.908098,0.101202,True,False
7,2100,2400,127.9869,69.6562,16704,0.546,933,0.025872,0.146092,0.910177,0.098687,True,False
8,2400,2700,136.8595,69.8623,17221,0.5647,898,0.02698,0.139288,0.909514,0.099489,True,False
9,2700,3000,129.9063,69.7895,15929,0.5754,924,0.026533,0.137837,0.920094,0.086845,True,False
